Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
16,08/10/2025,0,0.702664641,201.82196
16,09/10/2025,1,0.702664641,201.82196
16,10/10/2025,1,0.702664641,201.82196
16,11/10/2025,1,0.702664641,201.82196
16,12/10/2025,0,0.702664641,201.82196
16,13/10/2025,0,0.702664641,201.82196
16,14/10/2025,1,0.702664641,201.82196
16,15/10/2025,1,0.702664641,201.82196
16,16/10/2025,0,0.702664641,201.82196
16,17/10/2025,1,0.702664641,201.82196
16,18/10/2025,1,0.702664641,201.82196
16,19/10/2025,0,0.702664641,201.82196
16,20/10/2025,0,0.702664641,201.82196
16,21/10/2025,0,0.702664641,201.82196
16,22/10/2025,0,0.702664641,201.82196
16,23/10/2025,1,0.702664641,201.82196
16,24/10/2025,1,0.702664641,201.82196
16,25/10/2025,1,0.702664641,201.82196
16,26/10/2025,1,0.702664641,201.82196
16,27/10/2025,1,0.702664641,201.82196
16,28/10/2025,0,0.702664641,201.82196
16,29/10/2025,1,0.702664641,201.82196
16,30/10/2025,1,0.702664641,201.82196
16,31/10/2025,1,0.702664641,201.82196
16,01/11/2025,0,0.702664641,201.82196
16,02/11/2025,1,0.702664641,201.82196
16,03/11/2025,1,0.702664641,201.82196
16,04/11/2025,1,0.702664641,201.82196
16,05/11/2025,1,0.702664641,201.82196
16,06/11/2025,1,0.702664641,201.82196
16,07/11/2025,1,0.702664641,201.82196
16,08/11/2025,1,0.702664641,201.82196
16,09/11/2025,1,0.702664641,201.82196
16,10/11/2025,1,0.702664641,201.82196
16,11/11/2025,1,0.702664641,201.82196
16,12/11/2025,1,0.702664641,201.82196
16,13/11/2025,1,0.702664641,201.82196
16,14/11/2025,1,0.702664641,201.82196
16,15/11/2025,1,0.702664641,201.82196
16,16/11/2025,1,0.702664641,201.82196
16,17/11/2025,1,0.702664641,201.82196
16,18/11/2025,1,0.702664641,201.82196
16,19/11/2025,1,0.702664641,201.82196
16,20/11/2025,1,0.702664641,201.82196
16,21/11/2025,1,0.702664641,201.82196
16,22/11/2025,1,0.702664641,201.82196
16,23/11/2025,1,0.702664641,201.82196
16,24/11/2025,1,0.702664641,201.82196
18,08/10/2025,1,0.608673746,28.14823
18,09/10/2025,1,0.608673746,28.14823
18,10/10/2025,1,0.608673746,28.14823
18,11/10/2025,0,0.608673746,28.14823
18,12/10/2025,0,0.608673746,28.14823
18,13/10/2025,0,0.608673746,28.14823
18,14/10/2025,0,0.608673746,28.14823
18,15/10/2025,0,0.608673746,28.14823
18,16/10/2025,1,0.608673746,28.14823
18,17/10/2025,1,0.608673746,28.14823
18,18/10/2025,1,0.608673746,28.14823
18,19/10/2025,0,0.608673746,28.14823
18,20/10/2025,0,0.608673746,28.14823
18,21/10/2025,1,0.608673746,28.14823
18,22/10/2025,1,0.608673746,28.14823
18,23/10/2025,1,0.608673746,28.14823
18,24/10/2025,0,0.608673746,28.14823
18,25/10/2025,1,0.608673746,28.14823
18,26/10/2025,0,0.608673746,28.14823
18,27/10/2025,0,0.608673746,28.14823
18,28/10/2025,0,0.608673746,28.14823
18,29/10/2025,1,0.608673746,28.14823
18,30/10/2025,0,0.608673746,28.14823
18,31/10/2025,0,0.608673746,28.14823
18,01/11/2025,1,0.608673746,28.14823
18,02/11/2025,1,0.608673746,28.14823
18,03/11/2025,0,0.608673746,28.14823
18,04/11/2025,0,0.608673746,28.14823
18,05/11/2025,1,0.608673746,28.14823
18,06/11/2025,1,0.608673746,28.14823
18,07/11/2025,0,0.608673746,28.14823
18,08/11/2025,1,0.608673746,28.14823
18,09/11/2025,1,0.608673746,28.14823
18,10/11/2025,1,0.608673746,28.14823
18,11/11/2025,0,0.608673746,28.14823
18,12/11/2025,1,0.608673746,28.14823
18,13/11/2025,1,0.608673746,28.14823
18,14/11/2025,1,0.608673746,28.14823
18,15/11/2025,0,0.608673746,28.14823
18,16/11/2025,1,0.608673746,28.14823
18,17/11/2025,1,0.608673746,28.14823
18,18/11/2025,1,0.608673746,28.14823
18,19/11/2025,1,0.608673746,28.14823
18,20/11/2025,0,0.608673746,28.14823
18,21/11/2025,1,0.608673746,28.14823
18,22/11/2025,1,0.608673746,28.14823
18,23/11/2025,1,0.608673746,28.14823
18,24/11/2025,1,0.608673746,28.14823
13,08/10/2025,0,0.54837583,130.99777
13,09/10/2025,0,0.54837583,130.99777
13,10/10/2025,0,0.54837583,130.99777
13,11/10/2025,0,0.54837583,130.99777
13,12/10/2025,0,0.54837583,130.99777
13,13/10/2025,0,0.54837583,130.99777
13,14/10/2025,0,0.54837583,130.99777
13,15/10/2025,0,0.54837583,130.99777
13,16/10/2025,0,0.54837583,130.99777
13,17/10/2025,0,0.54837583,130.99777
13,18/10/2025,0,0.54837583,130.99777
13,19/10/2025,0,0.54837583,130.99777
13,20/10/2025,0,0.54837583,130.99777
13,21/10/2025,0,0.54837583,130.99777
13,22/10/2025,0,0.54837583,130.99777
13,23/10/2025,0,0.54837583,130.99777
13,24/10/2025,0,0.54837583,130.99777
13,25/10/2025,0,0.54837583,130.99777
13,26/10/2025,0,0.54837583,130.99777
13,27/10/2025,0,0.54837583,130.99777
13,28/10/2025,0,0.54837583,130.99777
13,29/10/2025,0,0.54837583,130.99777
13,30/10/2025,0,0.54837583,130.99777
13,31/10/2025,0,0.54837583,130.99777
13,01/11/2025,0,0.54837583,130.99777
13,02/11/2025,0,0.54837583,130.99777
13,03/11/2025,0,0.54837583,130.99777
13,04/11/2025,0,0.54837583,130.99777
13,05/11/2025,0,0.54837583,130.99777
13,06/11/2025,0,0.54837583,130.99777
13,07/11/2025,0,0.54837583,130.99777
13,08/11/2025,0,0.54837583,130.99777
13,09/11/2025,0,0.54837583,130.99777
13,10/11/2025,0,0.54837583,130.99777
13,11/11/2025,0,0.54837583,130.99777
13,12/11/2025,0,0.54837583,130.99777
13,13/11/2025,0,0.54837583,130.99777
13,14/11/2025,0,0.54837583,130.99777
13,15/11/2025,0,0.54837583,130.99777
13,16/11/2025,0,0.54837583,130.99777
13,17/11/2025,0,0.54837583,130.99777
13,18/11/2025,0,0.54837583,130.99777
13,19/11/2025,0,0.54837583,130.99777
13,20/11/2025,0,0.54837583,130.99777
13,21/11/2025,0,0.54837583,130.99777
13,22/11/2025,0,0.54837583,130.99777
13,23/11/2025,0,0.54837583,130.99777
13,24/11/2025,0,0.54837583,130.99777
45,08/10/2025,1,0.62209414,166.31566
